ph,Solids,Chloramines,Sulfate,Trihalomethanes,Turbidity,Potability
7.64,872.57,1.78,208.47,68.91,0.67,1
7.39,899.97,1.61,404.02,50.28,1.42,0
8.0,956.68,1.36,197.48,17.03,3.71,1
8.08,495.95,2.25,196.35,87.21,2.74,1
7.07,588.88,0.16,129.09,81.77,1.81,1
7.72,447.5,1.52,197.17,61.0,4.5,1
7.97,793.31,2.66,196.1,85.28,0.62,1
7.17,244.17,0.4,542.36,45.42,4.25,1
7.5,589.54,1.71,248.0,15.53,2.0,1
8.17,509.11,1.01,117.32,81.36,4.05,1
8.42,759.06,1.4,290.99,108.16,3.81,1
6.59,202.48,1.28,425.2,6.53,4.02,1
8.35,0.0,1.95,337.25,68.99,2.49,1
6.52,266.05,2.15,103.35,31.13,3.4,1
7.8,162.8,2.54,250.48,83.41,0.85,1
8.17,995.06,1.76,254.56,3.25,1.42,1
6.6,760.14,2.81,0.0,81.04,3.32,1
7.53,817.61,2.61,417.07,15.25,1.66,1
8.17,627.75,0.77,450.31,62.87,3.72,1
6.55,137.69,0.43,21.12,76.58,3.07,1
7.64,605.83,0.55,311.9,78.28,3.54,0
8.07,714.69,0.97,149.96,15.03,4.04,1
7.13,596.76,0.71,135.5,41.21,2.11,1
7.72,608.02,1.72,55.33,3.9,3.28,1
7.02,361.41,1.77,77.61,0.0,0.65,1
6.47,151.81,2.83,300.71,0.0,4.12,1
7.4,661.65,1.18,103.86,10.31,3.94,1
6.51,651.21,1.34,279.63,93.79,3.41,0
7.34,160.91,0.87,375.65,53.85,3.73,1
8.23,263.66,3.06,344.36,25.4,3.3,1
7.81,624.65,0.0,209.03,68.86,0.73,1
7.21,435.17,1.09,10.7,0.0,3.36,1
6.73,534.08,1.74,330.5,18.92,0.0,1
8.65,306.16,0.78,332.3,57.64,2.65,1
7.68,713.91,2.63,310.45,60.17,0.24,1
8.45,442.39,1.32,18.92,74.94,3.81,1
7.48,580.5,0.9,0.0,97.81,2.37,1
7.51,887.91,0.0,395.09,110.16,3.79,1
8.09,723.57,1.17,167.74,71.88,0.58,1
8.21,594.56,1.37,7.23,65.28,1.75,1
7.55,370.54,0.77,306.82,98.17,2.9,1
7.34,926.13,0.67,0.0,16.27,2.07,1
8.1,330.83,1.65,274.22,86.15,3.68,1
7.19,1100.36,1.13,337.14,23.16,0.22,1
8.09,688.67,2.5,340.07,104.38,1.36,1
6.89,474.34,2.3,60.28,0.0,0.0,1
7.33,692.81,2.2,493.05,84.12,3.77,1
7.73,496.02,2.54,516.39,57.32,1.72,1
8.4,735.21,2.84,527.2,75.46,3.26,0
6.86,117.76,0.95,354.86,29.44,3.64,1
8.04,981.89,1.35,100.3,76.37,0.38,1
7.74,872.77,0.72,449.42,66.78,4.07,1
7.93,96.09,0.8,283.3,71.49,4.77,1
7.68,117.01,0.35,359.76,88.72,4.13,1
8.38,451.02,0.61,326.61,0.49,0.25,1
6.89,974.26,0.99,160.24,98.59,0.0,1
7.14,0.0,1.33,421.43,55.9,1.28,1
7.24,943.05,1.85,415.55,78.0,2.86,1
6.47,492.39,0.99,163.95,67.23,1.01,1
6.72,1043.32,0.0,164.93,49.83,4.87,1
8.4,669.87,1.18,116.68,57.82,2.85,0
8.46,486.26,0.68,69.83,79.22,0.0,1
6.43,449.73,2.21,565.28,50.86,3.46,1
7.67,218.2,0.69,213.55,99.22,1.83,1
7.33,0.0,1.67,218.64,1.5,1.59,1
7.34,705.87,0.4,315.54,72.05,2.38,1
7.97,799.0,1.35,171.29,64.31,3.34,1
7.11,1018.07,2.71,47.7,46.61,3.21,1
8.43,504.66,1.11,365.8,0.0,1.5,1
7.28,903.36,1.8,123.63,79.12,0.0,1
7.85,152.62,1.63,296.14,69.74,0.41,1
7.66,979.52,0.61,365.03,28.24,0.26,1
6.84,1096.58,0.0,315.65,0.0,1.53,0
6.4,224.4,2.4,0.0,86.08,0.94,1
7.08,883.95,1.01,141.99,81.82,0.74,1
8.3,944.09,1.89,277.68,76.98,5.68,1
8.03,598.74,1.58,534.74,69.42,1.43,1
8.02,930.87,2.74,265.31,17.73,0.28,1
6.72,480.09,0.61,412.44,70.07,0.22,1
8.24,512.22,1.52,313.13,34.65,2.62,1
8.0,376.62,2.04,264.62,50.55,3.68,1
8.39,1016.84,2.3,270.92,24.46,0.0,1
7.49,807.6,0.06,100.73,70.11,1.22,1
8.3,107.87,1.39,243.65,106.31,0.0,1
6.59,613.1,1.59,446.46,59.58,1.39,1
6.8,324.96,2.21,65.81,32.52,5.04,1
6.68,138.85,0.58,353.09,55.17,3.22,1
7.09,240.21,1.87,394.75,48.72,4.6,1
6.89,466.4,1.95,36.59,49.95,5.22,1
6.6,244.55,1.95,369.87,63.33,1.15,1
7.82,346.93,0.72,83.14,61.1,3.46,1
6.77,81.97,0.59,556.15,70.45,2.85,1
7.65,387.95,1.06,180.93,19.51,2.07,1
6.94,827.15,1.48,354.07,65.61,4.4,1
8.02,0.0,1.15,489.13,53.73,3.49,1
6.71,327.21,2.78,416.09,66.34,2.6,1
7.3,701.74,0.41,254.73,70.34,2.42,1
8.29,67.64,2.85,77.02,75.73,5.24,1
7.88,393.01,0.44,370.22,80.21,3.35,1
7.87,705.3,0.92,303.17,18.42,3.54,1
7.99,828.88,0.88,44.4,7.24,3.94,1
7.82,636.19,1.18,121.09,83.5,4.66,1
7.05,82.85,2.73,476.22,8.11,0.44,1
8.03,868.58,2.61,228.82,80.3,1.15,1
6.88,508.01,2.9,65.71,68.4,4.68,0
7.87,168.05,1.23,375.3,41.53,3.89,1
8.08,494.52,0.42,171.63,70.8,4.66,1
8.37,999.04,1.44,446.76,13.93,1.88,1
6.4,847.16,2.63,277.66,63.09,4.86,1
7.18,431.75,0.57,72.92,102.21,2.77,1
7.31,78.29,2.26,55.05,0.0,2.85,1
6.4,681.95,0.04,104.85,115.55,4.11,1
7.33,947.82,2.02,490.26,25.69,3.05,1
8.14,647.76,1.64,122.59,29.55,1.91,1
7.14,186.46,2.99,65.66,101.73,2.81,1
8.18,529.94,3.06,389.52,90.43,1.44,1
8.1,635.89,0.34,134.53,51.24,0.78,1
6.59,434.27,1.32,316.6,112.49,4.01,1
7.73,465.6,0.84,405.4,8.45,3.16,1
8.24,221.73,1.52,422.34,66.8,0.0,1
6.7,195.37,0.66,60.56,54.9,3.18,1
7.32,0.0,0.5,217.74,88.71,1.77,1
7.88,198.55,1.37,125.21,0.0,4.08,1
7.71,756.5,0.0,463.05,48.5,2.06,1
6.77,0.0,1.66,83.79,66.22,0.04,1
7.62,807.26,2.83,96.58,7.83,4.25,1
7.63,859.99,0.38,97.31,62.4,5.02,1
7.95,213.59,3.1,34.07,79.9,3.8,1
7.93,680.8,1.61,313.47,73.82,5.07,1
7.19,267.6,0.49,128.65,8.04,1.05,1
7.78,590.02,3.02,172.33,45.71,1.82,0
8.3,781.56,1.8,156.2,98.29,3.86,1
8.36,572.17,1.31,201.56,0.0,2.35,1
7.23,371.8,1.18,107.66,51.61,1.17,1
6.27,826.48,2.31,275.33,35.48,2.02,0
7.98,755.3,0.77,294.96,108.11,1.28,1
6.91,660.76,0.53,105.88,39.73,3.25,1
7.63,549.32,0.69,454.41,88.31,3.76,1
8.1,160.38,0.11,137.84,14.08,3.9,1
7.17,848.51,2.3,115.39,49.09,3.14,1
7.16,665.05,1.43,133.23,27.95,3.23,1
7.39,861.06,2.19,467.61,11.58,4.45,0
7.83,375.57,2.9,0.0,38.89,1.12,1
6.64,911.26,1.93,211.38,67.93,1.72,1
7.49,0.0,1.3,436.58,74.88,4.66,1
6.77,480.41,1.37,12.66,74.61,4.21,1
7.38,114.85,1.68,171.43,34.9,4.22,1
8.02,97.19,1.37,98.06,50.52,4.18,1
6.86,791.79,1.4,472.41,41.71,2.79,1
6.59,248.16,0.71,30.71,99.97,2.14,1
7.47,324.51,1.82,500.17,85.6,2.67,1
7.2,196.09,0.68,5.8,59.01,0.87,1
7.0,984.75,2.9,262.92,63.17,0.85,1
6.93,17.51,0.46,340.04,23.71,1.05,1
7.22,251.43,0.97,243.34,64.67,4.01,1
6.89,745.83,0.19,263.73,29.31,1.01,1
8.04,725.76,0.57,210.57,103.31,0.64,1
7.67,753.7,1.15,136.64,32.48,0.96,1
7.09,974.88,2.1,561.76,0.0,3.68,1
6.67,27.06,2.88,196.62,26.88,4.37,1
8.19,790.86,1.06,225.1,96.37,1.98,0
6.87,830.17,2.5,276.89,31.95,3.94,1
6.81,606.41,0.9,485.02,35.71,2.8,1
6.55,711.36,1.07,174.75,106.37,3.58,1
6.76,81.56,0.0,131.09,92.44,4.0,1
8.17,154.65,2.56,498.16,31.06,1.72,1
7.26,748.38,1.44,243.32,2.5,4.76,1
6.86,545.22,2.31,353.86,43.45,4.07,1
8.14,215.11,0.72,239.24,38.07,2.52,0
7.74,0.0,2.07,457.36,94.14,1.36,1
6.61,528.7,0.22,441.38,47.75,3.52,1
7.71,28.93,1.62,376.91,95.87,3.48,1
8.56,792.46,2.34,0.0,89.97,2.04,1
7.16,235.85,0.22,421.58,98.4,1.27,1
8.07,761.09,1.15,0.0,58.25,1.7,1
6.77,0.0,2.57,457.87,30.56,1.69,1
7.43,384.73,0.74,0.0,29.52,4.41,1
8.1,167.4,1.12,437.01,63.73,3.35,1
8.14,730.76,0.5,347.46,80.24,3.07,1
7.87,601.44,0.25,117.33,84.37,5.22,1
7.02,120.05,1.17,375.1,32.43,2.83,1
6.58,969.04,1.03,285.41,79.27,4.24,0
7.5,509.78,2.0,71.24,65.68,0.03,1
8.25,285.48,2.48,440.37,72.82,0.0,1
6.95,801.43,1.94,290.48,0.0,4.3,1
7.03,434.99,0.3,175.51,89.93,4.03,0
7.88,956.58,1.99,416.24,52.1,1.84,1
7.89,276.32,1.78,73.4,23.62,0.64,1
8.21,1064.06,2.49,74.12,19.86,1.28,1
6.39,78.42,1.74,385.68,17.78,1.39,1
7.18,784.43,1.64,21.74,43.83,4.42,1
8.29,364.51,0.01,394.49,96.34,0.75,1
7.97,413.59,2.64,143.57,106.2,1.08,1
8.07,602.92,0.83,397.38,73.68,4.03,1
8.51,75.14,1.52,239.24,16.49,0.64,1
8.42,178.3,2.35,358.69,91.37,1.04,1
8.14,139.25,0.48,343.21,102.39,3.88,1
8.01,846.18,2.69,176.44,9.25,4.34,1
7.3,302.93,1.33,239.03,90.92,4.21,1
8.08,456.25,0.0,229.83,47.02,0.52,1
6.98,196.34,1.66,34.16,83.17,1.3,0
8.01,226.79,2.22,481.92,81.17,3.29,1
7.9,918.15,1.33,356.3,5.92,1.73,1
7.81,613.87,2.73,173.97,31.14,2.8,1
7.71,608.02,1.26,186.6,29.32,0.67,1
7.36,679.21,2.53,179.03,56.31,3.5,0
7.35,890.13,0.46,433.13,0.0,0.55,1
6.5,211.66,0.73,186.5,49.27,0.49,1
7.97,58.97,0.35,104.57,28.21,3.79,1
7.57,634.22,1.76,365.46,12.85,3.21,0
7.45,314.89,1.34,99.03,52.14,3.13,1
7.52,79.58,1.76,345.05,2.57,1.78,1
7.89,941.87,0.68,333.02,46.63,4.19,1
7.22,525.54,2.43,152.27,23.19,4.5,1
8.18,465.98,3.09,300.28,91.84,1.69,1
8.02,138.39,0.42,312.0,2.54,0.2,1
7.22,778.8,1.31,520.4,80.92,1.41,1
6.61,477.0,1.93,159.08,64.52,4.61,0
8.2,169.2,2.69,218.71,17.53,2.64,1
8.34,959.18,2.62,439.62,31.35,3.63,1
6.92,977.63,0.69,0.0,43.15,0.99,1
8.23,1065.0,1.34,524.91,47.57,3.31,1
8.09,858.18,0.46,136.38,49.96,1.81,1
8.22,361.84,1.65,87.51,15.14,3.1,1
6.79,199.58,2.05,456.27,39.99,1.4,1
6.68,489.24,0.79,114.02,62.27,3.39,1
8.28,68.27,1.48,226.19,22.3,2.67,1
6.82,668.23,1.4,123.11,75.76,3.77,0
7.25,102.25,0.82,420.03,33.14,2.51,1
7.6,0.0,0.6,392.53,22.79,1.42,1
7.35,737.62,2.39,149.29,80.04,3.71,1
7.79,263.05,0.09,277.29,41.14,0.92,1
6.94,551.0,3.01,107.1,103.89,2.24,1
8.08,635.05,2.77,414.5,103.54,3.51,1
6.71,744.95,2.82,148.69,88.07,5.02,1
8.3,753.17,2.59,310.38,103.92,3.24,1
6.46,708.26,0.0,421.18,26.86,0.06,1
7.67,778.45,0.16,184.81,11.12,4.11,1
6.87,1055.0,1.09,515.17,35.92,0.18,1
7.18,873.9,0.43,237.76,39.85,0.0,1
7.23,34.44,0.16,235.21,32.94,2.69,1
8.33,202.28,2.17,171.69,67.15,4.73,1
7.37,382.03,2.97,392.67,84.93,2.4,1
6.49,313.67,2.31,358.68,73.19,4.72,0
8.22,173.62,0.76,232.17,103.47,3.37,1
8.29,968.09,2.69,453.48,63.28,0.08,1
8.63,139.35,2.53,289.95,107.24,2.35,1
7.18,211.9,0.8,0.0,19.1,3.4,1
7.1,788.05,1.01,485.69,20.26,1.85,1
6.78,212.86,0.32,191.77,39.59,3.38,0
6.65,288.54,1.54,311.91,79.67,2.19,1
6.63,851.17,3.02,388.8,21.9,1.75,0
7.47,798.22,0.1,26.25,19.3,3.31,1
6.79,464.56,1.35,168.99,3.13,0.79,1
6.91,45.86,0.87,29.43,38.03,1.33,1
8.16,479.38,2.98,324.91,89.22,1.19,1
7.46,879.01,0.41,547.36,42.93,2.41,1
6.91,699.39,1.67,398.65,74.51,1.57,1
7.82,93.4,1.38,390.95,89.68,1.42,1
7.13,508.59,2.22,147.55,80.77,0.0,1
7.92,292.44,2.23,17.64,101.12,2.17,1
7.19,562.79,2.82,317.29,14.4,0.52,1
7.54,194.45,2.6,95.87,24.67,2.82,1
7.42,112.52,1.69,210.04,17.68,0.0,1
7.65,47.28,1.35,101.62,11.77,0.31,1
6.9,401.26,0.25,26.27,92.22,0.0,1
7.8,935.62,0.72,411.68,19.42,3.87,1
8.42,1004.25,0.15,295.34,68.94,3.41,1
7.0,736.88,2.4,371.59,41.75,5.04,1
6.74,696.04,0.2,456.83,53.22,3.66,1
6.39,301.39,0.83,85.33,57.49,2.84,1
8.39,300.81,2.41,438.18,63.67,1.94,1
8.24,832.64,1.9,305.6,24.72,2.78,1
7.09,1133.55,2.69,343.06,19.46,4.01,1
8.89,516.87,1.59,505.82,17.81,5.49,0
6.96,792.68,0.51,306.37,25.12,1.07,1
7.35,1003.17,2.38,0.0,85.19,5.18,1
7.26,1079.3,0.85,81.0,103.97,5.12,1
8.32,154.93,2.28,165.6,0.0,5.41,1
6.54,639.58,0.12,408.26,68.49,3.36,1
6.9,267.36,0.0,325.07,73.17,2.22,1
7.72,472.33,2.07,360.18,14.96,4.79,1
6.4,389.95,1.88,0.0,20.15,0.92,1
7.19,409.43,1.75,63.57,78.93,3.2,1
7.64,66.34,0.9,237.09,29.52,0.11,1
8.48,680.16,1.88,295.25,89.33,1.85,1
7.93,688.9,0.82,189.12,63.23,2.56,1
8.26,714.22,0.0,46.96,91.01,3.79,1
7.99,152.67,1.52,240.08,56.47,1.29,1
7.84,286.91,1.81,394.44,26.63,3.66,1
8.13,617.27,0.57,256.51,55.54,3.43,1
7.6,738.35,0.13,68.84,43.25,0.83,1
7.68,433.23,1.7,407.17,15.07,0.0,1
7.26,246.87,1.33,35.07,88.49,1.74,1
6.8,620.07,1.01,172.21,94.84,3.99,1
8.05,1067.76,2.7,169.53,96.52,5.16,1
7.03,734.15,2.6,433.84,50.35,4.49,1
7.99,945.75,0.44,269.0,59.78,1.01,1
7.53,340.42,1.2,396.5,8.34,4.37,1
7.2,276.87,1.01,545.09,98.56,1.69,1
8.45,905.57,0.56,199.97,51.62,3.56,1
6.73,851.27,0.0,128.03,82.59,4.23,1
7.74,788.19,0.0,205.16,89.79,1.81,1
6.72,404.63,0.53,263.16,89.93,1.49,1
8.19,164.41,0.0,9.02,27.48,2.52,1
7.46,94.36,1.64,36.88,9.87,4.67,1
8.27,920.54,0.47,359.71,109.21,1.97,1
7.15,908.34,2.73,474.9,11.43,1.14,1
7.72,200.26,3.05,461.9,21.84,3.05,1
8.18,783.96,1.37,179.31,62.61,2.54,1
7.91,378.15,2.27,174.94,12.94,2.33,0
8.67,598.14,3.06,387.83,37.93,4.52,1
7.29,665.59,0.0,550.43,84.84,1.94,1
7.27,296.08,1.45,166.92,63.94,4.34,1
7.65,83.93,1.33,546.8,52.76,3.05,1
8.68,251.86,0.92,291.13,5.41,2.67,1
7.13,302.7,0.51,5.8,37.68,2.31,1
8.16,549.57,0.04,232.21,25.49,2.68,1
6.79,137.17,1.72,41.87,40.63,0.0,1
7.63,751.47,0.93,171.04,42.48,0.55,1
7.71,345.51,1.42,293.69,47.24,0.74,1
6.55,586.27,2.69,446.51,36.34,1.13,1
8.16,626.98,1.0,220.39,65.31,0.64,1
6.28,35.12,1.06,319.49,60.5,1.72,1
8.63,609.24,2.6,329.33,93.02,1.34,1
7.51,502.52,1.69,178.85,30.49,5.56,1
7.11,664.56,1.24,308.19,6.38,2.72,1
7.84,1077.65,0.9,244.72,30.27,0.0,1
7.46,685.07,2.22,377.22,82.34,3.57,1
7.95,144.99,1.27,166.49,37.53,3.13,1
6.56,792.8,1.79,413.18,74.8,4.64,1
7.46,595.87,1.32,6.66,71.72,1.63,0
7.56,704.67,0.88,477.58,28.83,0.91,1
8.15,349.48,2.7,244.73,13.86,5.11,1
6.32,525.66,1.71,0.0,34.79,3.74,0
7.4,693.5,2.58,464.11,45.2,2.76,1
7.94,904.37,1.15,215.26,74.09,4.39,0
7.29,772.97,1.19,186.78,31.99,4.93,1
6.65,175.54,0.67,256.28,95.02,0.02,1
7.56,1050.84,1.19,410.69,9.73,1.37,1
6.74,480.92,1.06,271.56,93.45,4.64,1
7.06,614.28,0.16,307.04,17.81,0.0,1
8.16,850.24,0.63,70.33,92.4,1.41,1
7.2,294.53,0.4,78.41,16.79,4.71,1
7.25,702.98,2.47,334.13,71.89,0.39,1
8.08,981.05,0.98,535.23,43.08,2.76,1
7.86,723.61,2.5,59.8,28.21,5.37,1
7.46,320.58,0.15,431.84,8.84,2.84,1
8.23,485.58,0.05,265.7,8.41,0.38,1
7.4,69.94,3.07,301.77,35.33,0.33,1
7.86,646.34,0.42,155.54,84.46,2.61,1
8.13,901.24,0.0,313.99,92.44,0.0,1
7.64,395.56,1.62,206.87,15.22,3.74,1
7.76,812.76,1.12,385.06,55.42,1.69,1
7.32,763.28,0.54,105.8,0.0,2.59,1
7.81,0.0,2.09,179.13,23.46,4.41,1
7.11,908.71,1.9,379.26,62.81,3.67,1
7.98,355.46,0.91,147.5,33.77,3.48,1
6.92,341.24,1.69,560.14,80.61,0.84,1
7.56,2.47,1.34,295.36,95.32,1.41,0
7.79,779.99,2.7,559.78,21.53,3.94,1
7.15,323.71,0.47,111.03,66.56,2.31,1
7.17,449.74,0.81,445.55,84.09,2.9,0
8.37,37.51,1.59,38.01,69.24,2.28,1
6.96,659.46,0.0,117.27,56.74,4.95,1
7.97,253.65,2.43,191.84,40.44,0.68,1
7.92,682.83,2.74,294.59,49.74,3.63,1
7.16,631.0,1.08,255.98,33.27,3.34,1
8.01,645.51,2.39,279.82,49.07,5.05,1
6.41,272.17,0.75,84.43,86.46,1.84,1
7.14,159.94,2.85,246.58,33.47,4.57,1
8.34,899.07,0.72,84.95,37.0,3.24,1
7.51,949.52,0.52,133.7,55.29,2.88,1
7.71,640.29,0.59,392.09,82.74,1.72,1
7.64,1001.74,1.23,228.31,40.51,4.14,1
7.62,516.11,0.28,303.39,54.58,0.44,1
7.3,637.03,2.84,424.13,63.74,5.64,1
7.71,320.45,1.88,415.77,48.72,2.39,1
6.81,227.07,1.66,121.66,72.24,2.95,1
7.14,484.76,1.72,446.71,68.67,1.7,1
7.08,178.59,0.88,184.01,13.94,4.01,1
7.39,480.68,1.94,294.95,27.54,0.48,1
8.51,612.31,2.2,123.26,0.0,3.87,1
7.59,0.0,1.66,239.11,40.56,4.01,1
7.18,381.07,0.62,252.61,23.66,0.55,1
6.93,475.1,0.62,50.28,45.31,3.98,1
7.46,715.39,0.86,315.52,70.96,2.5,1
8.13,950.71,1.17,188.58,87.7,1.82,1
8.43,619.11,0.05,350.84,80.69,2.53,1
7.41,514.85,2.71,388.94,76.98,3.55,1
6.84,495.9,0.77,262.6,92.03,2.86,1
7.99,322.26,0.95,32.15,89.47,3.15,1
7.42,466.91,0.31,239.27,25.07,3.18,1
8.15,765.31,1.63,169.78,80.68,3.82,1
6.09,913.35,1.24,388.95,22.21,3.2,1
8.34,202.28,0.47,506.18,15.75,1.47,1
6.91,0.0,2.91,253.55,80.99,3.34,0
7.7,920.61,0.58,401.97,3.55,4.1,1
6.68,1015.68,0.93,78.31,94.5,2.6,0
7.28,820.66,2.09,465.37,99.01,4.54,1
7.86,800.39,0.72,507.95,12.71,1.67,1
7.96,771.94,2.5,503.07,46.08,0.9,1
7.73,846.52,0.62,424.09,85.02,2.48,1
8.2,157.19,1.62,324.01,44.65,0.6,0
7.34,214.98,2.62,535.73,65.89,0.42,1
7.08,760.72,2.44,195.93,50.32,2.15,1
7.21,173.14,2.53,123.56,62.45,5.33,1
6.82,943.21,0.99,275.72,53.26,2.92,0
7.12,290.4,1.78,314.71,53.95,5.24,1
7.89,723.31,1.05,296.14,96.68,1.72,1
8.02,617.95,1.74,393.63,0.0,1.96,1
6.39,568.93,1.27,0.0,30.94,0.0,1
7.96,948.01,2.83,491.61,9.16,0.19,1
8.12,609.82,1.69,371.3,20.21,3.84,1
7.65,530.38,0.05,289.59,10.49,3.79,1
6.99,108.41,0.73,500.82,105.7,3.37,1
7.84,206.79,1.1,109.66,41.31,5.35,1
6.84,645.42,2.94,166.81,42.55,3.0,1
7.78,946.71,1.29,85.78,53.39,1.39,1
7.13,662.12,1.39,312.08,115.31,4.37,1
7.62,1003.5,2.86,516.6,9.32,3.64,1
7.01,64.86,1.39,491.4,42.93,0.03,1
7.24,1058.34,2.83,141.29,23.96,4.56,1
7.67,847.51,0.76,366.21,20.33,0.84,1
7.74,562.93,0.25,352.99,9.57,3.99,1
6.96,377.7,0.33,82.52,45.4,3.18,1
8.38,445.82,1.76,439.2,12.33,4.84,0
6.93,158.34,1.19,212.65,2.46,0.0,1
6.92,763.06,2.12,48.54,79.32,3.1,1
6.96,715.44,1.89,185.83,38.3,1.59,1
6.52,452.91,2.2,372.96,8.09,3.77,1
7.4,290.23,0.79,500.72,62.41,0.74,0
8.04,0.0,1.83,97.77,59.31,4.18,1
